,name,start_date,cur_date,current_price,current_rent,leveraged,noi_current,curr_rate,irr
0,Patricia Manor Place,2013-10-01,2023-10-01,77118.6231,892.0115493523338,0.8,0.06940047787385877,0.06433519565217391,0.31347128486071396
1,Regency - Tanglewood - Marquee - Wildwood,2013-10-01,2023-10-01,74768.7947,902.7524949019584,0.8,0.07244352394798936,0.06433519565217391,0.2862371115352378
2,Sutton Place,2013-10-01,2023-10-01,85990.5245,844.3109687871843,0.8,0.05891190735466564,0.06433519565217391,0.32747396936779904
3,Turks (Approx) - Miami S. Beach 5 stars,2013-10-01,2023-10-01,451039.788,4992.920205686708,0.8,0.06641879947433872,0.06433519565217391,0.33996197826705554
4,el retiro Farm,2013-10-01,2023-10-01,1520.760082437432,8.781606742351492,0.5,0.034646911805877666,0.06433519565217391,-0.0863331621500032
5,la moraleja Property,2013-10-01,2023-10-01,6225.534658245724,16.89546195711053,0.5,0.01628338404772912,0.06433519565217391,0.02607118420166943
6,la volcana Apartments,2013-10-01,2023-10-01,1634.243681581129,12.346748910116343,0.5,0.04533013913140863,0.06433519565217391,-0.10063161153244893
7,lagasca Property,2013-10-01,2023-10-01,7385.972599375407,22.893082950359236,0.5,0.018597211924909,0.06433519565217391,0.04817399332077876
