,date_forecast,lower,mean,upper,k
0,2018-10-01,0.2717725162598672,0.2717725162598672,0.2717725162598672,Patricia Manor Place
1,2019-01-01,0.27384876942771585,0.27523539210789183,0.27613593764267996,Patricia Manor Place
2,2019-04-01,0.26978834619798486,0.27095536490485417,0.2721833867537802,Patricia Manor Place
3,2019-07-01,0.28420012452451093,0.2851344002370362,0.2867139540446315,Patricia Manor Place
4,2019-10-01,0.2806513677877629,0.28212525457753435,0.2843109645507911,Patricia Manor Place
5,2020-01-01,0.2823103403664846,0.28341531564865585,0.28621093823270316,Patricia Manor Place
6,2020-04-01,0.30141722539061155,0.3030221082528033,0.3050858914026997,Patricia Manor Place
7,2020-07-01,0.30363419926355273,0.30525889542125695,0.30747928564566096,Patricia Manor Place
8,2020-10-01,0.287447812882315,0.288505913948367,0.29070783043372206,Patricia Manor Place
9,2021-01-01,0.2453941957550383,0.24666977092943032,0.24970352704888588,Patricia Manor Place
10,2021-04-01,0.1809210099587455,0.182820597999934,0.18470430193914544,Patricia Manor Place
11,2021-07-01,0.15427501405519672,0.15602492656169398,0.1582595263696851,Patricia Manor Place
12,2021-10-01,0.11089641041551834,0.11353238958348855,0.11702405905963853,Patricia Manor Place
13,2022-01-01,0.09065011325295336,0.09324403566287809,0.09688307554516307,Patricia Manor Place
14,2022-04-01,0.06207365229035022,0.0644990120565534,0.06755219730252082,Patricia Manor Place
15,2022-07-01,0.08585819099193248,0.08778686713229833,0.09098161348912193,Patricia Manor Place
16,2022-10-01,0.09885494819152107,0.09987480509736857,0.1026594767257154,Patricia Manor Place
17,2023-01-01,0.135910998460411,0.13745771613897184,0.13993629366718152,Patricia Manor Place
18,2023-04-01,0.17005793162426253,0.1716304565192921,0.17381349268993818,Patricia Manor Place
19,2023-07-01,0.16580245421295814,0.16763006078271991,0.1704236397281511,Patricia Manor Place
20,2023-10-01,0.16321229885267785,0.16419408102543698,0.16602116767983266,Patricia Manor Place
0,2018-10-01,0.15774646827883543,0.15774646827883543,0.15774646827883543,Regency - Tanglewood - Marquee - Wildwood
1,2019-01-01,0.13914006948861157,0.1468808038235856,0.1529629576950826,Regency - Tanglewood - Marquee - Wildwood
2,2019-04-01,0.2378145755389911,0.24635109027455582,0.2541325217078618,Regency - Tanglewood - Marquee - Wildwood
3,2019-07-01,0.2525020895616692,0.262695842146053,0.2713214997056368,Regency - Tanglewood - Marquee - Wildwood
4,2019-10-01,0.21802387873059326,0.22992586632964174,0.2413090269846887,Regency - Tanglewood - Marquee - Wildwood
5,2020-01-01,0.2337808615086845,0.24705461665906392,0.2589722221416333,Regency - Tanglewood - Marquee - Wildwood
6,2020-04-01,0.29292756142545584,0.3049927331889102,0.31706596230488193,Regency - Tanglewood - Marquee - Wildwood
7,2020-07-01,0.29104302708158314,0.3040908407371732,0.31614184338482,Regency - Tanglewood - Marquee - Wildwood
8,2020-10-01,0.27747500362273114,0.2922097137723443,0.3048299150700704,Regency - Tanglewood - Marquee - Wildwood
9,2021-01-01,0.2449226285042283,0.2606503615506546,0.2746753422088719,Regency - Tanglewood - Marquee - Wildwood
10,2021-04-01,0.19811439936060427,0.21434654210869852,0.22973439062101408,Regency - Tanglewood - Marquee - Wildwood
11,2021-07-01,0.19000862827865883,0.20747983458621433,0.22407448657634865,Regency - Tanglewood - Marquee - Wildwood
12,2021-10-01,0.1473847948817224,0.1642988301312558,0.1806450322310289,Regency - Tanglewood - Marquee - Wildwood
13,2022-01-01,0.1061280369883093,0.1212274646010405,0.1376395474968024,Regency - Tanglewood - Marquee - Wildwood
14,2022-04-01,0.07177423576289188,0.08581787728560131,0.10217458355690079,Regency - Tanglewood - Marquee - Wildwood
15,2022-07-01,0.08840894927639176,0.10683847874283581,0.12354023328516361,Regency - Tanglewood - Marquee - Wildwood
16,2022-10-01,0.09995564070810592,0.11953248936895866,0.1371167772329982,Regency - Tanglewood - Marquee - Wildwood
17,2023-01-01,0.15182123112820722,0.17677108508189132,0.19802343213047968,Regency - Tanglewood - Marquee - Wildwood
18,2023-04-01,0.18743366511225235,0.21305528375353977,0.23572932998669516,Regency - Tanglewood - Marquee - Wildwood
19,2023-07-01,0.17002471758425775,0.19155357187707844,0.21364477984386743,Regency - Tanglewood - Marquee - Wildwood
20,2023-10-01,0.17100140494123361,0.19394942061069753,0.2156453990572751,Regency - Tanglewood - Marquee - Wildwood
0,2018-10-01,0.23092355319978886,0.23092355319978886,0.23092355319978886,Sutton Place
1,2019-01-01,0.2428723266931101,0.24419741484819046,0.2453736917429017,Sutton Place
2,2019-04-01,0.2623665322819573,0.2643741669045099,0.26630745920236887,Sutton Place
3,2019-07-01,0.27337290351144783,0.27588983113394594,0.2784393978162647,Sutton Place
4,2019-10-01,0.2693671493654428,0.27238054296084857,0.27537660311421286,Sutton Place
5,2020-01-01,0.26956694933970415,0.2730643539380271,0.27650776615877604,Sutton Place
6,2020-04-01,0.2860924804298475,0.28982228861692194,0.2935071373718794,Sutton Place
7,2020-07-01,0.28194556571494256,0.2860983502587766,0.29014825159323054,Sutton Place
8,2020-10-01,0.26209697303408186,0.2667101875825959,0.2712324390135825,Sutton Place
9,2021-01-01,0.22327329597318624,0.22840608753233482,0.2333427174120144,Sutton Place
10,2021-04-01,0.14720229587048217,0.15283905141146414,0.15893918695012688,Sutton Place
11,2021-07-01,0.14068769066412923,0.14734696572986028,0.15458934499574828,Sutton Place
12,2021-10-01,0.10429676228393814,0.11112983578434776,0.11859042480879456,Sutton Place
13,2022-01-01,0.07719001399562408,0.08364302652373068,0.09047206789106421,Sutton Place
